Name,Age,Gender,Skills,Wages (INR/day),Location,Pincode,Years of Experience,Education Level,Marital Status,Number of Dependents,Work Type
Anthony Chauhan,33,Female,Decorating,460-593,Pune,411001,11,None,Single,0,Seasonal
Parth Borde,42,Female,Electrical Work,479-732,Chennai,600001,8,Primary,Married,6,Seasonal
Rushil Seth,56,Female,Sewing,410-578,Lucknow,226001,14,Primary,Single,2,Part-Time
Elijah Chaudhry,39,Female,Domestic Help,570-827,Hyderabad,500001,10,Primary,Married,4,Seasonal
Aadi Dhawan,32,Male,Plastering,580-785,Delhi,110001,10,Primary,Married,5,Seasonal
Farhan Mishra,23,Male,Decorating,567-700,Bangalore,560001,6,None,Single,2,Seasonal
Indali Hayre,23,Female,Electrical Work,396-537,Mumbai,400001,2,Higher Secondary,Single,2,Seasonal
Ayaan Bhattacharyya,26,Female,Electrical Work,516-618,Ahmedabad,380001,9,Secondary,Widowed,1,Full-Time
Patrick Warrior,34,Male,Welding,425-567,Chennai,600001,8,None,Married,4,Part-Time
Nachiket Goswami,40,Female,Sewing,328-491,Lucknow,226001,12,Primary,Widowed,2,Full-Time
Tanay Mukherjee,43,Female,Cooking,315-417,Kolkata,700001,4,None,Single,0,Full-Time
Ijaya Buch,26,Female,Plastering,401-572,Delhi,110001,8,Higher Secondary,Married,2,Seasonal
Mason Dubey,29,Male,Plastering,405-552,Jaipur,302001,8,None,Single,1,Seasonal
Yauvani Halder,37,Female,Decorating,436-610,Pune,411001,4,Higher Secondary,Single,1,Part-Time
Unnati Kapur,35,Male,"Masonry, Domestic Help",568-765,Hyderabad,500001,2,Higher Secondary,Widowed,1,Part-Time
Sanaya Nadig,18,Male,"Sewing, Domestic Help",589-714,Ahmedabad,380001,1,Higher Secondary,Married,5,Seasonal
Mugdha Ramanathan,21,Female,"Gardening, Gardening",325-526,Pune,411001,4,None,Married,6,Full-Time
Tanveer Srinivasan,44,Female,Masonry,528-665,Bangalore,560001,10,None,Single,1,Full-Time
Chandani Gera,54,Female,Sewing,371-614,Mumbai,400001,2,None,Widowed,2,Full-Time
